comentarios,id_comentarios,nombre_canal,categoria,dummy_y
Preguntassss: ¿en las áreas oscuras del pelaje siempre se tiene que retirar con el cutter y el las áreas de color blanco se hace surcos y después se aplica el color?? Eso vale en el pelaje de otros animales como el gato verdad?,UgyBr0XkVE4WclT24tJ4AaABAg,Soy Danny,dibujo,1
En el otro vídeo nomas enseño como dibujar el ojo pero aquí ya había empezado con el pelo  que chiste,UgwspqTez7C5Vy9GY5B4AaABAg,Soy Danny,dibujo,1
"Hola sabes eso de la técnica con lápices de colores de aplicación verde y de allí a más colores hasta llegar al color piel en él dibujo lo vi en un video de YouTube Alex cubas podes hacer uno vos. También para ver cómo lo trabajás vos
Saludos",UgyCCJhGzb6t8xxbLm94AaABAg,Soy Danny,dibujo,1
"Que buen tutorial crack!! Tengo que hacer un perrito tambien en mi canal, no al nivel del tuyo pero valdra el intento XD Saludos!!",UgzvdBVoWp_z0qtS4AF4AaABAg,Soy Danny,dibujo,1
"Che, es cualquiera; hace tres videos que no me llega la notificacion, hoy me fije en la comunidad a ver si seguias vivo y resulta que no me avisaba youtube. Saludos don Danny, si no te presentas al principio del video vas a tener que cambiar el nombre al canal. Imaginate arranca el video y naah que hablas. Salutte.",UgymVOwEc3AEwZXyji54AaABAg,Soy Danny,dibujo,1
Maestro mas o menos cuanto duras haciendo un dibujo hiper realista ?,UgxRM-FEc78y7CQSIHF4AaABAg,Soy Danny,dibujo,1
Se debe usar el alargador para lapices para mayor comodidad al trabajar cuando el color está demaciado corto.,UgySqDAi-cwCGtSoLOd4AaABAg,Soy Danny,dibujo,1
"No logro hacerlo, hay partes que ya tienes hechas y sin explicar. Se que pido demasiado pero hacer un proyector así con partes sin comprender es gastar materiales en vano y no son nada económicos por así decirlo. Perdón estoy poniendo toda la voluntad y llevo días tratando de comprender como esta hecho el pelaje debajo del ojo y el pelaje que rodea la trompa y nada. No se que hacer!!!",Ugw6u02tnNI1ivjSL5l4AaABAg,Soy Danny,dibujo,1
"Dani podrías hacer un video corto de como desarrollar el pelo de las orejas , ya que sale los pelos tan marcados por favor .Mil gracias por tus clases eres un crack y gracias por el regalo que nos haces.",UgzbP_xG8gd9kCfjitN4AaABAg,Soy Danny,dibujo,1
"  CURSO DE CERO AL HIPERREALISMO Global (versión de pago)
             
Si quieres aprender  HIPERREALISMO Completo con clases en vivo y en directo ,dale click a este LINK y déjame tus datos para contactarte
  https://docs.google.com/forms/d/e/1FAIpQLSdb0UemZ0EBLp2_eViiuKcho9ad5SoaqeEX78VQnzX2uwqdcQ/viewform?usp=sf_link",Ugx6OOaWT9x9PypXuW54AaABAg,Soy Danny,dibujo,1
Daniel cómo me puedo inscribir a sus clases que quisiera aprender a pintar iper realismo,Ugx0eKyiVg6oKeDeWbh4AaABAg,Soy Danny,dibujo,1
queremos ver un video de la degradacion de la piel en el cuerpo completo,UgxubIwxRcZMQR79R7l4AaABAg,Soy Danny,dibujo,1
"Hola Danny muchas gracias por este video, trataré utilizar tus técnicas para hacer un gato. Es que me encanta los gatos, espero que algún día hagas un gato.",UgwsppibtCuHU7SYc794AaABAg,Soy Danny,dibujo,1
"Estupendo  ya pronto veremos el final ..gracias por tus consejos Danny ,cada día aprendo más Bendicciones",Ugw04_n1TzYCNIfuJN14AaABAg,Soy Danny,dibujo,1
"gracias por incluir los escolares en los faber castell, asi me facilita el trabajo xd",UgzQN7DDW1mfpXxYEQR4AaABAg,Soy Danny,dibujo,1
"K barbaridad !!!!! Saludisimo enorme desde Texas ,,,,Súper hiperabsolutamente  maravilloso!!!!!",Ugwu9w95B0CMcIEjy_t4AaABAg,Soy Danny,dibujo,1
"Danny, me tienes como tonta viendo tus vídeos de madrugada. Me encanta y también su trabajo.",UgwmacIFYRSj2Jpg9ud4AaABAg,Soy Danny,dibujo,1
Pensé que eran videos viejos y decidí dibujarlo en un proyecto para mañana y ahora ya no sé que hacer :( jajajaa,UgyzK91l8GYjLflrcZN4AaABAg,Soy Danny,dibujo,1
"Danny, cuánto es que cuesta tu curso de 3 meses de cero al hiperrealismo?",UgzCtv9gAwaINX4gxYx4AaABAg,Soy Danny,dibujo,1
"  CURSO DE CERO AL HIPERREALISMO ($)
             
Aprende  HIPERREALISMO con grafito y color son clases en directo ,postula en este link
 https://forms.gle/rmRCsyXmJPbPedu3A",Ugx28ShVxmCbL4h9u2N4AaABAg,Soy Danny,dibujo,1
también me gustaría o como algo para obtener todos los videos seguidos y gracias nuevamente,Ugw7x_pcIFQwk-m0YlV4AaABAg,Soy Danny,dibujo,1
te felicito no solo por este sino por todos los demás y discúlpeme por escribir mal tu nombre Danny jajajaja,Ugz381LfZR26a0L9c8B4AaABAg,Soy Danny,dibujo,1
hl amigo DANI tengo I 50 años y siempre he dibujado a carboncillo y siempre sigo sus tutoriales y me gustan mucho e aprendido mucho pero yo no sé dibujar solo trabajo sobre copias quisiera poder Acer el curso de grafito pero en este momento no tengo trabajo ni tampoco nada de entrada monetaria bueno será en otra ocasión pero si te digo que los gratis los veo y vuelvo a verlos y aprendo cada ves más gracias dani,UgxrBtNHn2-kAkPuHjB4AaABAg,Soy Danny,dibujo,1
"Yo utilizo be funky, es una pagina web parecida a photoshop, y me sirve mucho para hacer las cuadrículas.",UgymlzgEzM3OBPUBwjt4AaABAg,Soy Danny,dibujo,1
Dany que se siente ser diseñador gráfico para yo estar convencido de que esa es la carrera q quiero,UgwVN8KhenXAcxAhwYN4AaABAg,Soy Danny,dibujo,1
Yo corte una cartulina del tamaño de la hoja aunque solo sea 160 gramos espero me salga,UgzAK1fWffXc0hSO6I14AaABAg,Soy Danny,dibujo,1
"Quiero hacer a mi perro pero con pintura acrilica, si puedo aplicar estos consejos ?? Y gracias",UgxN5kwT8yodQcnHH8B4AaABAg,Soy Danny,dibujo,1
gola dany ... quiero ser tu dicipulo desde ahora xd ._. .... eres un idolo ... sige asi,UgzzJQFMbl8RSOfn9tt4AaABAg,Soy Danny,dibujo,1
Soy dany ya transmite en vivo mi hijo esta esperando que transmitas mi hijo es experto en asee hiperrealismo a sus 12 años mi hijo quiere terminar este dibujo porfavor transmite mi hijo ya iso el dibujos de Morgan Freeman y le salio igual al tullo es tu fan numero 1,UgyLbkXusKUaDrBpaKR4AaABAg,Soy Danny,dibujo,1
"Hola me acabo de suscribir, creo que eres una persona muy talentosa. No pierdas tu carisma y esa gran motivación.Dios te bendiga!",UgwvEbhZCiw0x5i8vuF4AaABAg,Soy Danny,dibujo,1
Pero igual Danny también sería genial que salieras un poco de la zona de confort,UgyWMWWVxTaLFLdLrD94AaABAg,Soy Danny,dibujo,1
Hola Danny me gusto el dibujo de Morgan que te parece si ahora cambias un poco y haces por ejemplo a iron man con textura metálica o podrías dibujar a black panther,UgyuO964VGs1-tlFlap4AaABAg,Soy Danny,dibujo,1
"Amigoooo... soy el único al que no le atendieron como corresponde, para lo de las clases?  ojalá quienes le ayudan, fuesen como el Dany que vemos en los videos alguien con mucha empatía.
No quisieron aceptarme una simple llamada para que me explicaran cómo iba todo lo del curso, es algo a pago y cualquiera que invierte plata en algo, sabe que a través de simples mjs de texto no puedes acordar nada ya que se puede interpretar de muchas formas un msj.!",UgyIhjw2TARTALoHVt14AaABAg,Soy Danny,dibujo,1
"Te admiro, te seguí desde el inicio, me encanta todo lo que haces, tus dibujos son increíbles, yo no tengo materiales profesionales, pero aún así veo tus vídeos porque me encantan y me llena de felicidad pensar que en un tiempo cuando tenga materiales podré practicar todo lo que nos has enseñado, amo tu actitud y energía, saludos. ️",UgxmBBLmnS_7qP19_l14AaABAg,Soy Danny,dibujo,1
Me gustaría muchísimo el gato es mas difícil y seguramente tiene tácticas entretenidas,Ugy9LvUShRFJrkI3J5R4AaABAg,Soy Danny,dibujo,1
hola danny; espero que este año que estamos empezando sea libre de virus y mejoras en salud bienestar unión familiar  y economía para todo el mundo no tengo facebock pero mi opinion seria la del perro desde venezuela,UgzdPhTijDhfMhK41Zp4AaABAg,Soy Danny,dibujo,1
"me guasta, que haces lo que mas te gusta, a pesar de que eso no llame mucho la atención o no este de moda por asi decirlo. porque tranquilamente podrias subir 3 videos cada semana, dibujando anime o haciendo fan art, creando tu estilo de dibujo, haciendo dibujo digital,etc. me encantan tus videos son de mucha ayuda para mejorar",Ugww7s67DguHzBwUMK14AaABAg,Soy Danny,dibujo,1
"Brother saludos!! Soy yo de nuevo, Jorge desde chiapas. Me encuentro coloreando con bolígrafos baratos en policromia, seria fantástico si en algún momento pudieras darnos algun video o videos aquí en tu canal, para mejorar nuestro trabajo por favor y gracias por responder siempre, te admiro y respeto mucho! !  Espero algún día poder conocerte, quizá cuando Dios me permita alcanzar mi sueño de ser reconocido, ahi en algún momento tenga la oportunidad, sin mas que decir te mando un fuerte apretón de manos y felicitaciones porque estoy seguro que eres buen camarada.",Ugy9GE1mn0e64u11y8d4AaABAg,Soy Danny,dibujo,1
Espero seguirte desde hoy  ansiosamente pues tengo muchas ganas de aprender  dibujo realista,Ugybn3KxGqMDuFHX8hZ4AaABAg,Soy Danny,dibujo,1
Me encanta que tomas de referencia a Daniel Habif y te juro que como el me inspira en la forma espiritual de la vida tu lo hiciste en la forma artística eres el mejor,UgwD8UVg9OUarScxxE54AaABAg,Soy Danny,dibujo,1
Vaya tu actitud es inspiradora.Es reconfortante ver como amas lo que haces y contagias.Que todo te salga muy muy bien,Ugy48svmqevr9qDIy0Z4AaABAg,Soy Danny,dibujo,1
Saludos desde Panamá  gracias por esas palabras seguiré intentando realizar mis metas porque estas palabras aplica para todo,Ugw-wIaq4rCU3G72n8F4AaABAg,Soy Danny,dibujo,1
Me encanta el arte pero siempre tiendo a ver que mi trabajo no es tan bueno y lo dejo de lado. Algún consejo?,Ugz2ZO7kIK3-SSggg254AaABAg,Soy Danny,dibujo,1
"Pero ser un Artista en todo sentido, no es sólo ponerse a copiar fotos de rostros idénticos. Eso es solo ser un buen dibujante nada más. Hacer dibujos hiperrealistas es algo sin sentido, queriendo igualar el arte fotográfico.",Ugw-UeVvOId9mLKuGu54AaABAg,Soy Danny,dibujo,1
"Esto es lindo, ya que... En un sierto tiempo, me sentía muy mal e insuficiente, es una buena motivación, también me gusta el dibujo, y pues a practicar... Buena motivación",UgymD5LH78KGg0V1ioJ4AaABAg,Soy Danny,dibujo,1
"No sé que es lo que quiero en esta vida. Siempre sigo el curso que mis padres me instan. Pero en fin, al menos puedo seguir haciendo algo que me gusta. Dibujar


Bonitas palabras y gracias",UgzVoIo97kaYtYaiLPZ4AaABAg,Soy Danny,dibujo,1
"Para lograr un cambio de verdad, tienes que estar dispuesto a sacrificarlo todo.
 Aquel que no está dispuesto a sacrificar algo, no podrá cambiar absolutamente nada.
Camino que no tiene sacrificios y riesgos es el camino de la NADA, camino en el que tú debes sacrificar y arriesgarte, es el camino que te guiará a tu objetivo.",UgxZg7foQc2LxYjkB4h4AaABAg,Soy Danny,dibujo,1
"Al fin, he encontrado un maestro para aprender acerca del hiperrealismo, me encantó el mensaje motivacional, ojalá y alcances los 100K en este año",Ugy_Z1VzMtE0utk2PfJ4AaABAg,Soy Danny,dibujo,1
Grandes palabras maestro! Admiro su trabajo y quisiera llegar a su nivel ,UgygV1bkiaNtYqJGVft4AaABAg,Soy Danny,dibujo,1
Yo que de pequeño decía que el lapiz de color blanco era el más inutil,UgxCmUhmzgsvrRS4P1R4AaABAg,Soy Danny,dibujo,1
Cuantos gramos tiene la hoja ??? Nuevo sub!! Explicas $9999999999 mas  claro q el agua,UgxpX50s4-EIAZ6DWfN4AaABAg,Soy Danny,dibujo,1
" Sígueme Aquí para verme en directo y poder DIBUJAR JUNTOS! ► https://bit.ly/2Uv53fh 

️ Este vídeo es tan solo la primera parte de una serie de vídeos, soy consciente de que falta información, pero conviene separarla en varios vídeos para que no se haga excesivamente largo y podáis entenderlo mucho mejor. Si queréis un vídeo explicando todas las facciones y planos del rostro, déjamelo aquí abajo en los comentarios y dale like!! :D",UgwPCBL4twdJrOawQBd4AaABAg,José Cabrera Art,dibujo,1
Muy bueno tu video. Solo dibujas en papel? Me gustaría ver tus técnicas usando una tableta digital,Ugzn5sa520neTJvqOul4AaABAg,José Cabrera Art,dibujo,1
siiiiiiiiiiii porfavooooooooooooor haz esos tutoriales  que propusiste,UgyXhn5SAD36_AjZ-yh4AaABAg,José Cabrera Art,dibujo,1
"maravillosos retratos, gran trazo... y mucha fuerza expresiva! GENIAL!!",UgyEBUWt8KzYq6W0neR4AaABAg,José Cabrera Art,dibujo,1
"Adonde conseguiste ese modelo?
No encuentro alguno que sea interesante.
Plis explica la estructura de la cara o la cabeza",Ugz-Vt2gZONr4m9wD8t4AaABAg,José Cabrera Art,dibujo,1
 ¡Aquí tenéis una lista con TODOS MIS MATERIALES de dibujo por si os interesan!  https://bit.ly/3bRRL2s ,UgxWwrv39dqDJsXcynh4AaABAg,José Cabrera Art,dibujo,1
Estaba buscando un unboxing porque me lo van a regalar pero me encanto tu dibujo(nuevo sub),Ugxfb0oxZ20dFLl2OER4AaABAg,José Cabrera Art,dibujo,1
"Muy bueno! Muchos animos con el canal! Justo estoy empezando nuevo canal, si te gustaria nos apoyamos seria un placer, saludos!!",UgzLYJES-GGkxKztsdN4AaABAg,José Cabrera Art,dibujo,1
Me encanta como te quedó. Está muy bien lo de probar distintos materiales. Gracias por compartir. Un abrazo.,Ugw-KIih8WmapDfxtvJ4AaABAg,José Cabrera Art,dibujo,1
Una pregunta? cuánto cuesta esa caja de materiales de Alexey en pesos mexicanos esque quiero comprar una,UgyrDFaRas95eHViUHl4AaABAg,José Cabrera Art,dibujo,1
¿Te gustaría que hiciese más vídeos como estos o probando distintos materiales? Déjame tu opinión por aquí abajo y no olvides sucribirte!! ,Ugy7TL-vcH16bXHvwgd4AaABAg,José Cabrera Art,dibujo,1
¡¡Espero que os resulte divertido este vídeo!! A mí me encantó hacerlo y grabarlo con vosotros! Dejadme vuestra opinión aquí abajo! ,Ugx5AGRa7ingejD4IYN4AaABAg,José Cabrera Art,dibujo,1
"¿Te han resultado útiles estos consejos? ¡¡Si tienes alguno más, no dudes en compartirlo en los comentarios y tampoco olvides suscribirte!! Haz click aquí  https://bit.ly/2Joxy8h",Ugz5EvrqC7g3y_ttvhx4AaABAg,José Cabrera Art,dibujo,1
Excelentes consejos!! es muy difícil el trato con los clientes. Pero todo sirve de experiencia para aprender de los errores. Gracias por compartir los tuyos para ayudar a otros. Exitos!!!,Ugxy58FFrHRkpqic7q94AaABAg,José Cabrera Art,dibujo,1
"Epico, nos enseñas de negocios, que bien que volviste creí que habías muerto xd",UgxbEte7Iq9rsPy8znF4AaABAg,José Cabrera Art,dibujo,1
"Que duro es poder ganarse la vida como artista, hacerte con una cartera de clientes contundente y crecer en las redes sociales cuesta mucho, a veces intenta uno replantearse las cosas y pensar en buscar un trabajo mas ordinario como trabajar en un súper por ejemplo por la incertidumbre de si saldrá uno adelante en este mundillo de la ilustracion o no y si te dará para vivir de ello, a mi eso me provoca cierto agobio ese pensamiento.",Ugzk8v9a_MNTgicgi6V4AaABAg,José Cabrera Art,dibujo,1
:v vi esto y de una me meti pero T:T la decepción aun no se estrena asi que dejo span XD like en mi canal ok fin del spam,UgyIQeHTuUdgeV-BYol4AaABAg,José Cabrera Art,dibujo,1
¿Y cuál es tu opinión sobre estos programas? Déjame tu opinión por aquí abajo en los comentarios y no olvides suscribirte!!  (Lo siento por el pequeñito fallo de audio al final),UgytTJ6xnOZGtWQA2Y94AaABAg,José Cabrera Art,dibujo,1
"Sobre lo que dices que no se puede cambiar el tamaño del pincel con atajos de teclado, si que se puede
Tienes que pulsar ctrl + Alt + mover el puntero hacía los lados para ajustar el tamaño
O así lo tengo yo configurado, no recuerdo si venía así de base, pero si que se puede configurar eso",UgyYut3P4khzi4RKqhN4AaABAg,José Cabrera Art,dibujo,1
"yo no tengo ni uno ni otro, me gustaria poder probarlos algun dia jajajaja, un abrazo tio, hace tiempo que no te veo porque no tengo el movil y casi ni uso el ordenador, espero que vaya todo bien y a ver si puedo meterme en algun directo pronto!!!1",Ugz21j6Z7M-1V4KOFlB4AaABAg,José Cabrera Art,dibujo,1
"Hola José,  yo soy novato y empece con clip studio por el mismo motivo que tú y me encanta que hagas videos.de lo que sea y, si son de clip studio pues mejor   un abrazo y la iñustracion del video de 10",UgwsSom5aQK6pGwiEWl4AaABAg,José Cabrera Art,dibujo,1
"me encanta dibujar, pero nunca use una app como esas ojalá tener uno de esos, o los dos jsjjs.
Pero mi opinión por lo cual como se vió en lo que dibujaste, me gustó Clip Studio Paint y me gustó tu dibujo, en realidad me encantó!!!
creo que no es una opinión jajaj...",UgwGiB5ZCokswX2JkxF4AaABAg,José Cabrera Art,dibujo,1
"Ñoooo mi hermano, estoy sin palabras, tremenda pintura y tremendo vídeo Bro. Me emocioné mucho uffff Gracias de corazón a ti y a todos los que tuvieron que ver con esta linda sorpresa ",UgxtbihP0Wv0ve0iKyN4AaABAg,José Cabrera Art,dibujo,1
"Podrías explicar como hacer dibujos o un coloreado mas realista en Adobe PhotoShop? algo así, https://www.youtube.com/watch?v=rioc6mTWOZs   si haces eso seras mi ídolo. saludos y espero tu respuesta",UgytiUGFdRZlqKBz91p4AaABAg,José Cabrera Art,dibujo,1
"Pedazo dibujo y que buena sorpresa, que pena que me perdí su reacción , me mola mucho como te ha quedado con manchas, sin que sea relamismo, me encanta como va avanzando tu estilo, y sobretodo me encanta lo natural que te queda la luz y color",Ugzr1CN8UJFmtj1d38N4AaABAg,José Cabrera Art,dibujo,1
"Gran resultado. Me gusta que hayas elegido trazos sueltos, como tú has dicho. Le da un resultado más interesante, a mi modo de ver, que si hubieras optado por el realismo. Y sí, se ve bien quién y qué hay en el cuadro. 

Un saludo!",UgyHmPiHZ6xoOFSMTCV4AaABAg,José Cabrera Art,dibujo,1
Excelente video broth.... también quiero volver a hacer vídeos de YouTube de arte.... como puedo unirme a su grupo... para colaborativos y más,Ugx82uJBdWzgDB0wpTJ4AaABAg,José Cabrera Art,dibujo,1
super te quedo el cuadro bro  me hubiese gustado hacer parte de la sorpresa,UgyvIqi5hnok12nGU6d4AaABAg,José Cabrera Art,dibujo,1
" Espero que os guste muchísimo este vídeo que he preparado con tanto cariño para Alexey ️ ¡¡Déjame por aquí abajo tus opiniones e ideas para próximos vídeos!!
.
.
Aquí os dejo a los demás artistazos que participaron en el reto (son sus cuentas de instagram, dadles amor )
- @patrielich_art
- @zeba_art
- @chuscs
- @iiiciiiaaar_10
- @douglas.ruizz
- @jose_grv7_7
- @fast_drawings2020
- @_mauroolugo
- @otalora_art
- @josecabrera_art",Ugz6gGRd2xpEYDxPS894AaABAg,José Cabrera Art,dibujo,1
