Comentarios,Categoria
"No sé, pero el modo de preparación me recordó mucho a un mixiote, solo faltó el achiote, cebollita, nopales y sus aceitunas ",comida
"Y que esperas para q empieces un restaurante pequeño de comida mexicana y esas inventos!!  ,estás  perdiendo tiempo ( tiempo = dinero) te estás viendo lento, si tienes la aprobación  de tu hermano y otros más  !!  No sé  q esperas",comida
Jajaja creo que ya te traumaste con la capital,comida
Buen video me ha ayudado a buscar diamantes en sitios que no pensaba que encontraría,comida
"Creo que los puristas dirán que es un sandwich, bocadillo o torta. Aún así brutal.",comida
"Se ve buena, sigue trayendo más recetas así con un toque de lo que se te ocurra, eso es lo bello de la cocina, darle el sazón que gustes y probar nuevas recetas",comida
"Que te parecieron los chiles chipotles Arturo ? Por cierto, Arturo recordando viejos tiempos 01:42 ",comida
El guajillo y el pollo se llevan muy bien juntos-,comida
Soy el único mexicano que pensó mal al ver cómo agarraba el pollo? ,comida
Arturo se ve riquísima bien explicado mas de uno intentaremos imitar tu receta,comida
"Que buen aspecto tiene esooo!!! Gran invento tu receta. 
Saludos gordaco!",comida
"Uff se me antojo bastante, tendre que hacer esa hamburguesa yaa!!",comida
"Creo que me voy a tener que fusilar tu receta antes de que la registres a la oficina de patentes,te quedaron de lujo esas hamburguesas!!!
(""Fusilar"" imitar,copiar,plagiar  .)",comida
Diossss qué pintaza ,comida
Engorde con solo ver el video jaja bueno video Arturo ,comida
Aves sobrealimentadas xdd,comida
Woooo que se ve rico !!! El otro día comí hamburguesas mientras tu comías pizza jajaja,comida
tercer comentario uwu,comida
"Si puedes adquirir Chile Morita te lo recomiendo, y pruébalo es un chile muy rico en salsas u odobos.",comida
segundo comentario? :v menudo pollo se me antojo Dx,comida
"Sigue Arturitou haciendo esto inventa la comida en tu cerebro y luego llevala a la realidad, es algo super bueno te autoenseñas, hasta imaginas los olores el sabor bueno eso me pasa ami.",comida
MÁS CONTENIDO -> https://www.instagram.com/arturolorenzo10,comida
Eso no es lo que come el mexicano aqui en California. Eso es una cochinada de comida y es lo que los Americanos comen por que ellos no saben lo que es comida mexicana. Los Americanos escuchan taco automaticamente piensan que ya es comida mexicana. Los americanosnpiensan que el taco bell vende comida mexicana.....jajajaja. N Po es Mexican food Arturo.,comida
"Los tamales no sólo se encuentran en México, también en centro América y algunos países de Sudamérica por el intercambio comercial de los Mayas e Incas",comida
La comida mexicana no puede se igual en otro pais por los ingredientes y la forma con que se preparan la comida mexicana es unica solo en el pais de origen todo lo demas es imitacion,comida
bro haz un video aprendiendo geografía de América xd,comida
La caca de mi novia se ve mejor que toda esa comida junta.,comida
Baja California es un estado de México  frontera con Estados Unidos,comida
"Hola Arturo sólo una pequeña cita histórica.
TAMAL del Náhuatl TAMALLI que significa ENVUELTO.
Sí gustas puedes leer HISTORIA GENERAL DE LAS COSAS DE LA NUEVA ESPAÑA a principios del Siglo XVI de Fray Bernardino de Sahagún y él describe...
""""Comian también tamales de muchas maneras; unos de ellos son blancos, hechos no del todo redondos ni bien cuadrados  otros tamales comían que son colorados""""
FRAY BERNARDINO DE SAHAGÚN.
Hay un video de una Colombiana que incluso menciona la palabra MENTIRA que algunas de NUESTRAS artesanías, gastronomía y utensilios que se usaban desde la época prehispánica sean MEXICANAS, por ejemplo, la tortiadora o prensa para hacer tortillas, gorditas, tlacoyos, quesadillas y etc., el molcajete, el metate, el Ayate que después se le dio el nombre de Mandil y otras cosas más.
Me molesta, pues una cosa es que ya en todo el mundo hay un gran intercambio cultural y otra que se ROBEN ORIGENES.
Son de México para el mundo y así mismo los usos y costumbres, historia y etc., de cada rincón de esté planeta son para el mundo.
Un abrazo desde Cd., de México",comida
"El tamal frito no es agringado, así se come en el norte de México, incluso en el norte le agregamos verduras como papa, zanahoria, ejotes, chícharos. En todo Latinoamérica se hacen tamales y en cada país hay diversas variedades, generalmente se usa hoja de plátano o de maíz, pero incluso hay quienes lo hacen con papel aluminio.",comida
"Las entidades federativas Baja California y Baja California Sur son mexicanas, California es un Estado de USA y antes se llamaba Alta California. Chili Bean es carne molida con frijol colorado y especias. En Baja California, México le ponen lechuga o repollo a los tacos de carne asada o a los de pescado. En Chihuahua, el señor Ignacio que inventó los ""nachos"", utilizó queso cheddar. La comida tex mex es aquella creada en Texas USA, y se caracteriza porque a todo le ponen crema agria, salsa pico de gallo, carne molida y cebolla cambray picada con queso cheddar sin derretir.",comida
Luisito dice que están buena la comida solo para no quedar mal con los gringos y a sus seguidores que lastima traidor ala patria,comida
Jajaja Los angeles está en California Estados Unidos y Baja California está en México pegado a California,comida
"Me Ofendes y me alagas a la misma vez :A Yo soy de Baja california y estoy 100% de que es mexicano hahahaha, Saludos",comida
"Los tamales,las hallacas,las popusas,las gorditas y las arepas son 100% Mexicas...",comida
Los tamale norteamericanos son basura,comida
La tex mex es porque texas era de Mexico,comida
"Basicamente es comida mexicana, pero adecuada a los gringos, los tacos duros en mexico se llaman tacos dorados, pero la diferencia es que la tortilla se dora en el momento de consumirla y los gringos ya venden la tortilla dorada en forma de taco industrializadas",comida
"Hay 3 Californias, dos en México y una en EU, el nombre de las mexicanas son: Baja California Norte (en mis tiempos en que estudié geografía así le llamaban, hoy en día solo le dicen Baja California) y Baja California Sur que están ubicadas en la península mexicana al noroeste de México; después está el estado de EU llamado California que está ubicado al suroeste de ese país, antes el sur de lo que ahora es EU era parte de México pero por cuestiones que ahora no me dan ganas de desmenuzar pasó a manos de EU, saludos 
Otro  comentario, aún en México hay lugares donde está mejor la comida, en mi experiencia personal la comida que más me ha gustado es la que hacen en pueblos pequeños ",comida
"Baja California tiene más mexicanos, porque está dentro del territorio mexicano jajajajaja! California es de USA, Baja California es de México xD",comida
"Lo del tamal ahí si Luisito se pasó, yo ya probé los de tito',s tacos y saben muy seco y la carne está más o menos, los que eh probado acá en el Norte y centro del país están estupendos",comida
"Arturo has enfrijoladas, y las adornas con crema y queso rayado. Tamalli en Nahuatl, las envolturas son reciclaje, hoja de Elote, hoja de Maguey, hoja de platano, etc. Apapacho",comida
"Baja California tiene muchos mexicanos porqke es México, los ángeles California es Usa",comida
"Existen 3 California en el continente Americano, uno es California, USA, ese y otros estados de USA son los Estados que USA confiscó a México después de la guerra que tubieron, las otras Californias siguen perteneciendo a México, son, Baja California Norte y Baja California Sur, si revisas en un mapa de el continente Americano, con los Estados de cada país, te darás cuenta",comida
Propongo las Panzas como unidad de puntaje del canal. Ej. Tacos de Pastor 5 panzas de 5,comida
"A mi honestamente nada se me antoja todo se ve muy jodidamente procesado no me imagino mejores tamales que los que se hacen en México, la verdad nada se ve apetecible. Saludos Arturo hasta España.",comida
aun haces directos en twitch?,comida
baja california es mexico que es el estado donde esta tijuana . california es en estados unido pero antes era de mexico  pero la robaron los gringos junto con otros estados,comida
Baja California esta en Mexico,comida
"""Me gusta mas que el tamal mexicano"" Luisito puede abandonar el país de manera definitva cuando quiera, su nacionalidad queda nulificada.",comida
"Las enchiladas que ellos probaron son de mole, normalmente en el sur del país esas son las “enchiladas”, pero ya en otras zonas se le conoce como “enmoladas” ya que están hechas de mole xd, un abrazo crack",comida
"Efectivamente Baja California tiene mas mexicanos en porcentaje, tomando en cuenta que tanto Baja California Norte como Baja California Sur están en México",comida
Tu muy bien ellos nada bien,comida
"De hecho acá en México se hacen los platillos de acuerdo al original y en caso de que el agringado haya sido bueno como el rollo californiano (sushi) que es copia del Sashimi, la pizza grande y gruesa que es la versión gorda de la pizza italiana original que es muy parecida a la imitada en México pero en lugar de trigo acá se usó con masa de tortilla y se hace en lugares caseros o por último la Ketchup que es la copia dulce y con colorante de la Cat-sup de Japón; en esos casos siempre en México se hace la versión chingona ya que a diferencia de EU, en México se prefiere usar ingredientes agrícolas en lugar de industrializados, por lo tanto son más frescas estas preparaciones y tienen más sabor que las que actualmente se usan en muchos países de 1er mundo que han apostado por cadenas de comida o restaurantes de medio pelo en lugar de restaurantes caseros o puestos callejeros como en muy pocos lados se sigue haciendo. Ya que vengas para acá bro sabrás de lo que te hablo",comida
Pero no te creas en eso es el pinche restauran no es mexicano por favor hay muchos mexicanos restaurantes que si quieren comprar la comida mexicana de Los Ángeles con la comida mexicana de México que vayan a un restaurante mexicano auténtico mexicano aquí hay muchos los Gavilanes te venden muy buenos tacos los pericos en Santa Cruz California son unos tacos sabrosísimo,comida
Pero si en todos los restaurantes en Estados Unidos hay cajeros automáticos ah pinche gente me cae ese pinche pelos de no no pero es puras pinches mentiras,comida
Por favor no le hagas caso a ese video eso voy a están pendejos yo vivo aquí hace 30 años yo viajo desde San Diego hasta San Francisco seguido por mi trabajo y hay muy buenos restaurantes mexicanos,comida
Eso está pendejo pinche madre también pendejos te llevan a un restaurant que no tiene nada que ver con México hay muchos restaurantes de muy buena comida auténtica mexicana,comida
Baja California es México va a California lo que es Tijuana Ensenada y California es ya Los Ángeles de San Diego para acá hasta Los Ángeles hasta San Francisco,comida
Ese Luisillo comunica es un traidor a la patria de México es un hijo de su Red perdón pero así es,comida
Los tamales se me ocurre que son de los que venden en el súper enpaquetados y por eso los sirven en platos de plástico y no en la oja,comida
"los tamales son Mexicanos, pues es tradicion maya xD los franceses ahora dicen que los tacos son suyos porque son cuadrados hahaha",comida
"6:16 El ojo izquierdo qué es el mexicano ya está mirando, tacos con lechuga hijo de P.  Lechuga porque?! heee que me has visto cara de vaca...  Morí",comida
Y pensar que baja California es de México ,comida
"De estados unidos solo conozco Baja California....
ehmmm baja california y baja california sur son de Mexico... California es de estados unidos... jejejejejejeje",comida
"XD para mí nada que ver con nuestra gastronomía y es verdad lo que comentas Arturo, si vas a comercializar un producto que se dice llamar de una región al menos sea los ingredientes originales o llamarlo comida tipo x",comida
"Pobres de los Mexicanos viviendo en Grigolandia. Que cosa más fea. Y sí como dices, no entiendo su obsesión de poner ""queso Americano"" en la Comida Méxicana. Y cuando los gringos vienen a México y piden sus tacos y prueban lo auténtico se vuelven loquitos.",comida
Eww! Nada que ver con comida mexicana... solo de ver esa enchilada se me revolvió el estómago.,comida
Pues nada que ver con nuestra riquísima comida mexicana ,comida
que el sistema de puntaje sea en panzas jaja de 1 a 5 panzas,comida
El ojo izquierdo que es el mexicano!... Jajajaja me gano!,comida
"luisito comunica es un asquito!!! Y aclarando el platillo no se llama chile concarne, es CHILI CON CAARNE, y te juro que no es de origen mexicano....",comida
"Arturo cada pais tiene su tradición 
pero Aqui en Nicaragua el Nacatamal se,respeta y las Montucas que son hechas en mi pueblo todavia no se conoce en todo Nicaragua jjj 
saludos",comida
"Buen provecho con sus ""tacos""
Yo prefiero mis *MEXICANÍSIMOS TACOS* de tortilla suave.
Saludos MAJO GORDACO!",comida
"Uy... tantas flores a Luisito Comunica... demasiado, no? Jeje",comida
Creo que está de más la controversia de lo que es tex-mex y lo que es mexicano. Es como si a la tortilla española se le pone queso... ya es medio francesa. !Bien por combinar ingredientes y mezclar sabores!  No pongamos etiquetas.,comida
"Baja California gang, RISE UP",comida
me cague de la risa lechuga porque me viste cara de vaca saludos arturo,comida
Tamali palabra nahualt que significa envuelto en resumen el tamal es mexicano,comida
"Aquí pasando a dejar mi like y saludos, ahora a disfrutar del vídeo reacción, fuerte abrazo Arturo ( •ω•ฅ）",comida
NO SEA PENDEJO !!!!!! BAJA CALIFORNIA PERTENECE A MEXICO...,comida
Solo los tacos dorados y enchiladas llevan lechuga,comida
Las Baja California estan en Mexico :v,comida
Comida peruana vs mexicana video,comida
No me dejen afuera de Mexico bc,comida
"Las enchiladas tradicionales son de mole, osea son de café obscuro a negras, las que tú conoces como enchiladas rojas don una variante y son de ciertos estados solamente.
Si dices enchiladas en cualquier parte de México enseguida se piensa en enchiladas de mole.",comida
"Baja California y Baja California Sur son de México, California (por si solita) es de Estados Unidos. Besitos",comida
"Baja California (Norte y Sur) son de México, California es de EU (antes era de México ). Pero ambos están pegados",comida
 Nunca había llegado tan temprano. Saludos al gordaco mayor que radica en España. ,comida
Baja California es parte de México  Arturitou creo te equivocaste con California,comida
"Bro soy de tijuana baja california, méxico xd Saludos.",comida
"Arturitou hola, podrías reaccionar o buscar algún video de lo que se acostumbra consumir por estas fechas de Cuaresma o Semana santa en México.",comida
"baja california es mexico gordaco supremo XD california pertenecio a mexico antes de la guerra mexico estados unidos, mas de la mitad de estados unidos pertenecieron a mexico, por eso en mexico decimos, baja california norte y sur, california es estados unidos",comida
Baja california esta en mexico jaja saludos amigo buen video,comida
Cuando reaccionas el Pib,comida
Hola,comida
Baja California es de México Xd California es otra California esa es de usa... Hay baja California Norte y Sur ambas de México,comida
llegue primero gordaco supremo XD,comida
Si gustas mandarme un mensaje privado aquí puedes https://www.instagram.com/arturolorenzo10,comida
"En Zacatecas, hay enchiladas de colores y muchos sabores. Además de los tacos envenenados",comida
"¨a la salida¨ es exactamente eso ... cuando vayas al baño ... aqui se usa decir ... ¨esta muy picante ..ahi te veo en la salida¨  jeje, saludos !",comida
Deberías ver el reto del agua chile más picoso,comida
Desde cuando Iker Casillas se volvio Youtuber?,comida
pero macho el windows actívalo rey tqm ,comida
Yo sigo esperando video en tu otro canal de reacciones ,comida
es tortilla con chile o salsa por que primero se ase la los totopos o la tortilla en aceite y luego  arriba le ponen la salsa,comida
"Gordako!!! Ese reto es solo para los machos y las machas, mis respetos para ellos. Saludos desde Guadalajara <3",comida
Hola soy de Uruguay has una reacción de tortas cubanas o el niño pobre gracias,comida
El suegro de Mou del canal no manches se termino los chilaquiles sin titubeos,comida
No te creas Arturo no dudo que Lalo tenga aguante al picante pero realmente no creo que sea demaciado como parece o como muchos otros Mexicanos almenos yo siempre que degusto un buen caldo consumo almenos 1 chile habanero completo,comida
Si pican ya los probé jejeje,comida
Arturo carbrón prepara salsa macha,comida
"Reacciona a los retos de ""Soy Pelos"" ese hombre aguanta el picante como nadie ",comida
Presente saludos ,comida
"Soy de Guadalajara y me gusta mucho el picante, esta horriblemente picante, yo lo trate de hacer y comí 4 cucharadas solamente",comida
"Recomiendo el canal ""No manches que rico"" en mi opinión de los mejores canales de comida.",comida
Reacciona a la hamburguesa más picante del mundo en el Edo Mex,comida
Dile que se balla a Tijuana años agua chiles más picantes de el mundo,comida
"El que si come chile es Oscar de la capital el se comió un Carolina Riper 
Y jeks también come bastante chile",comida
Soy el unico que se le antojo unos de esos?,comida
Man soy de guadalajara y si me joteo para el picante xDDD,comida
Ve el video que hizo con su amigo y el suegro de su amigo probando los mismos,comida
"6 dólares por morir...jajajaaaa!!!! 
Che, con todo respeto a Méjico pero están re locos!!! Yo, a duras penas tolero un poquito de pimienta, no puedo ni comenzar a entender cómo les gusta tanto el picante. Jajajaa!
Saludos, gordaco!",comida
"ARTURO, ES LA PRIMERA VEZ QUE TE ESCRIBO.ERO ESE TIPO DE COMIDAS ES UNA PENDEJADA!!!!! CUANDO TE PUEDES COMER UNOS CHILAQUILES PICOSITOS TOLERABLES CON UNA ARRACHERA ENCIMA. QUE GANAS DE SUFRIR A LO PENDEJO.",comida
"Yo soy de Pachuca Hgo y como mucho picante pero eso no se,  habría que checar jajaja  . Saludos",comida
Dicen las malas lenguas que ese día lalo murió y el canal quedó en manos de su clon malvado,comida
"De hecho salsa de puro habanero sabe rica, mi mamá suele ponerle hasta 10 habaneros, t2 tomates y su aguacate y queda deliciosa, pero ese chile ultra picante... Ni loco lo pruebo jaja",comida
5:11 es Naga jolokia por si lo quieres probar v:,comida
"Caray!
Yo con un tajín me ando muriendo  y éste hombre probando un platillo del infierno.
Saludos  MAJO!",comida
Que tienen los jaliscienses que tienen con el chile... pues... es la tierra donde se dan los hombres (entre ellos) como dice el chiste xD pero enserio es porque tienen que ver el chile y los jaliscienses es porque porque tienen la primera escuela de gastroenterología del mundo con más de 400 años incluso antes de la conquista se especializaban en cuidado estomacal en mexico xD,comida
SOLDADO CAÍDO. SE PERDIÓ UNA  BATALLA MAS NO LA GUERRA POR SI ACASO MANDEN UNA AMBULANCIA   RESCATANDO AL SOLDADO LALO,comida
Reacciona al de No Manches que Rico con mou esta chingon  igual hicieron el reto de los chilaquiles.,comida
"lo ideal es una bebida fría con tequila , el frio entumese las papilas gustativas y la capsaicina del chile es soluble en alcohol ahi les dejo el tip para sus retos con picante",comida
"No soy fan de esos retos""de comida...la comida es para disfrutarla,no le veo costo/ beneficio....el picante es para potenciar el sabor de los alimentos...no para sufrirlo.",comida
Epico ,comida
cuando vengas a Mexico es lo primero que tienes que probar te queremos ver llorar,comida
Si se puede entrenar el paladar para el picante y en general la mayoría de los extranjeros que se quedan a vivir en México al final terminan amando el picando y haciéndolo parte de su dieta. Creo que tú serías uno de esos que rápidamente te acostumbrarías al picante y lo pedirías en tu comida.,comida
Ya nadie piensa quien aguanta mas el picante si un hombre o una mujer mal ahí para el chef,comida
Hola biejon Arturo,comida
"Hay un truco para comer picante , cuando empiezas a comer la comida pasatela hasta la parta  del fondo de tu lengua  no sabores la comida o picante  con la parte de enfrente de la lengua .
Yo como muchísimo picante.",comida
Hay mas comida mole pozole molletes pancita chiles en nogada chiles rellenos molletes pambazos sopes chicharron en salsa verde enchiladas machetes flautas  gorditas mole de olla caldo tlalpeño caldo de camaron caldo de pollo etc,comida
"el chile ese el jolokua o como se llame es el que sale en la capital del video el chile mas picante del mundo, no usa el mismo pero si sale en el video",comida
"Buen día Arturo, medio gastritis nomas de ver eso,Saludos desde Jalisco México",comida
"¡ Un auténtico mexicano, jamás se sienta a comer con el sombrero puesto !  ¡ Es una falta de respeto y concideración por los demás !  ¡  El cuate de La Ruta de la garnacha es un balin, junto con Luisito Comunica y otros  youtubers ""mexicanos""  más !",comida
Hay videos en youtube de gente que se los termino D:,comida
Jajajaja eres la mamada Arturo!,comida
Deberías reaccionar al mismo reto pero del canal no manches que rico también está bueno,comida
Desde que te hacen firmar una responsiva algo no anda bien ,comida
Vamos mi capi,comida
"Aquí pasando a dejar mi like y saludos, ahora a disfrutar del vídeo, un abrazo Arturo. ( •ω•ฅ）",comida
"Saludos desde Manzanillo, Colima.",comida
SI ME QUEREIS MANDAR UN MENSAJE PERSONAL AQUÍ OS CONTESTO -> https://www.instagram.com/arturolorenzo10,comida
"Hey Tio, buen video.  Keep it up.",comida
"Felicidades. Ingredientes y preparación muy bien... La presentación más o menos bien, hay áreas de oportunidad. Ja. Abrazo.",comida
Felicidades  los nachos si son mexicanos al igual que los burritos ,comida
genial mega festin,comida
Tex-Mex es al final del dia comida botanera Mexicana... no olvideis que son territorios robados por Estados Unidos al gran Mexico...,comida
Se vé! Que quedó bien chivi devis jaja,comida
Todo se veía delicioso !!!!!,comida
"Los Nachos si son Mexicanos exactamente de aquí de el estado de Coahuila México para ser exacto Monclova Coahuila. 
Cómo ya hay tantas variedades podría catalogarse como TEX-MEX 
Saludos desde Saltillo Coahuila..",comida
Felicidades mi carnalito saludos cordiales desde la ciudad de México,comida
"Woow !!!   Ya eres toda una señora mexicana mi buen Arturo,  y lo digo como cumplido.   Que buena pinta tiene todo.",comida
"Se nota el amor que tienes por la comida  y por cocinar, me encanta tu canal",comida
Los machos no son comida texmex son mexicanos te paso el dato para que no te engañen,comida
No Mamés el pastor nunca pero nunca llevara guacamole ,comida
"Puede que no sea exactamente comida mexicana, pero en verdad se ve muy rico todo!",comida
"Te felicito por dedicarle a un día especial nuestra vasta gastronomía mexicana , saludos desde la CDMX",comida
"Muy rico, aunque los nachos se preparan a la hora q se van a comer y al gusto para q no se aguaden",comida
Eso no es comida mexicana wey  eso es tex mex,comida
"Los nachos sí son mexicanos, inventados en el estado de Coahuila",comida
"Las enchiladas nunca se hacen con tortillas de harina, mas bien parecian burritos gringos",comida
"Primera: no me gusta para nada como haces tu voz.
Segundo: no se me antoja para nada lo que cocinaste, así que por lo tanto toma tu respectivo dislike.

Para tu próxima reunión se mas original y deja de fingir tanto porque lejos de impresionar caes mal..
Salu2 Arturo Lorenzo.",comida
"Te felicito hermano
Saludos desde México",comida
Que pastón te llevaste en ese pedazo menú,comida
"Los nachos son 100% mexicanos,originarios de Piedras Negras,Coahuila frontera con Eagle Pass, Texas.",comida
"No pues, las enchiladas NO se hacen con tortilla de harina quien sabe a que supo eso, todo pastoso, las salsas si estuvieron bien y a eso que tu llamas guacamole eso no es guacamole solo es aguacate con limón el guacamole lleva chile verde o serrano hay españolito siempre cambiando todo igualito a tus ancestros, no pues te falta mucho y el menjurge ese de los nachos si es texmex hacen un verdadero revoltijo que parece basca de perro.",comida
"La comida mexicana SOLO SE HACE EN MÉXICO, así que si quieres preparar comida mexicana debes ir a México.",comida
"los nachos si son 100% mexicanos,,,,el detalle es que los texmex llevan mucho queso amarillo ,,y TACO BELL Y los MILLONES DE MEXICANOS de  que viven en TEXAS,,los hicieron mas famosos a nivel mundial.....................y también dicen que los burritos son texmex  y no son 100% mexicanos ,,creo que son originarios de EL ESTADO DE CHIHUAHUA  ,,pero también paso lo mismo con los TEXANOS MEXICANOS  con su exagerado queso amarillo lo hiciero famosos..........EL TEXANO  mexicano le pone queso amarillo rayado a todo lo que sea comida......y si los dos son mexicanos...............pero en fin eso sale sobrando si es mexicano ó texmex  LA COMIDA SE DISFRUTA Y LA COMIDA EVOLUCIONA eso es lo mas importante al comertela  DISFRUTAR",comida
"Mexicano aqui, y sin problemas me habria comido lo que preparaste, todo se ve muy bien",comida
Los nachos tradicionales son mexicanos.,comida
Saludos desde Chicago! Se ve rico!,comida
"No maaano no.   Las enchiladas Con tortilla  de harina ,no maaano. ,. Todo bien.   En la enchiladas cero. Saludos ,",comida
"Muy buen intento.
Para que aprendas a cocinar comida 100% mexicana, con ingredientes que puedes conseguir en España, ve el canal de jauja comida mexicana.  Todas sus recetas salen deliciosas.",comida
Eres fantástico Arturooo......... te expresas tan bonito de mi México..... eres el único que apenas veo un video y antes de verlo le doy like... Besazosss Guapoo.... ♫,comida
De pronto sentí mucho orgullo por ti Arturo ,comida
"Solo tres palabras, Arturo:
1. Delicioso.
2. Felicidades.
3. Gracias.
Abrazos desde México.",comida
"Me recordó una vez que quise invitar a mis amigos a probar mis platillos asiáticos y preparé Ramen, onigiris y panes al vapor. 

Se ve que te esforzarte por emular en los otros, lo que tú sentido del gusto ya pudo probar.",comida
Muchas felicidades y gracias por informarte de la cultura y comida mexicana,comida
"Aguacate molido es pure, no guacamole",comida
Cuenta la leyenda que los nachos nacieron en piedras negras Coahuila...,comida
¿Por qué tu hermano Álvaro ya no sube vídeos?  ,comida
"LOS NACHOS NACEN EN UN PUEBLITO CERCA DE LA FRONTERA DE USA,",comida
Se rara esa comida ... Perdón!!,comida
"Arturo se ve riquisimo, yum!1",comida
"Arturo te felicito, por un Mexicano.",comida
"Hermano español, tu ya eres mexicano!!!!!!!!!!!!!",comida
"Te quedo increíble todo Arturo!, muchas felicidades, gran reunión, saludos.",comida
"A los Mexicanos nos da pena y verguenza cuando vemos que alguien cocina comida gringa y la hacen pasar por Mexicana. Es como si yo hiciera una fiesta y sirviera arroz instantaneo con ese queso de plastico haciendolo pasar por ""paella"" y encima sirviera spam con salsa inglesa y le llamara ""jamon de bellota español"" no jodas tio, ya has visto demasiados videos de comida autentica Mexicana para que termines cocinando estas chorradas",comida
"A los chiles secos en vez de cortarles la colita , se la puedes arrancar para no desperdiciar el chile seco y los puedes abrir por la mitad pero a lo largo para sacar más cómodamente las venas y las semillas

Y los nachos si son  100% mexicanos originarios de coahuila",comida
Enchiladas  de  harina. !,comida
Te mando un saludos desde Mérida yucatán México eres único,comida
"Muchas felicidades Arturo, se ve rico todo ",comida
"Ostia! Pero en México casi no comemos nachos, sólo cuando se va a ser botana o ver una película.",comida
"Mira, en el momento en que vi que tú preparaste los totopos, no comprados, di like de inmediato. Aplausos.",comida
min 8:10 tacos al pastor con cubiertos xD muy pulcro (Y),comida
"Se mira genial todo lo que hicistes, gordaco!:)
Los nachos son mexicanos, originarios de Piedras Negras, Coahuila. Pero aún así lo que hicistes es manjar de dioses",comida
"Felicidades Arturo, te quedó bien todo",comida
Esos no son machos.. Son totopos siempre los. Confunden,comida
"NACHO NO,  TOTOPO SI, UN ABISMO, APAPACHO",comida
"Simplemente genial, saludos desde Colima Mx",comida
 que genial eres ,comida
"Arturo dato histórico, los nachos si son mexicanos creados en la ciudad de piedras negras, coahuila en 1940 para esposas de estadounidenses ( piedras negras es una ciudad fronteriza con Estados Unidos) al no tener cocineros ni suficientes ingredientes don Ignacio creo este peculiar y ya muy famoso platillo. Un saludo!",comida
"Yo no se como le hacen en otros paises para vivir sin crema acida, la amo con todo mi ser.",comida
"Simplemente exquisito!
Se notó que les gustaron tus manjares
Espero se lo hayan pasado de perlas 
Saludos MAJO!",comida
Que rico se ve todo!!!!,comida
"Te ha quedado bien, y que bueno que le ha gustado a tus invitados y buen provecho! Y me ha encantado eso de acepta la gordura como forma de vida ,me hace gracia ",comida
lo texmex es mexicano con ingredientes gringos,comida
"Los nachos son 100% mexicanos, son muy reconocidos a nivel internacional y piensan que son comida Tex Mex, pero en realidad son mexicanos, del norte para ser exactos",comida
"Hola, Arturo! Para todos los mexicanos que piensan que los nachos son tex-mex solo porque en Gringolandia los han vuelto favoritos y los comercializan por todos lados, pues no, su origen es netamente mexicano, de Piedras Negras, Coahuila, en el norte de México...copio link de info....son tan mexicanos como los burritos y la flor de nochebuena que conocen como de pascua o poinssetia, que fue sustraída por un ex embajador gringo que además se atrevió a patentarla con su apellido...menos mal que el hurto y apropiación indebida es tema conocido...saludos, excelente Chef Arturo!!! https://es.m.wikipedia.org/wiki/Nachos#:~:text=La%20historia%20cuenta%20que%20en,lo%20poco%20que%20ten%C3%ADa%20disponible",comida
